Company,Region,Market_Share (%),Revenue (in billion USD),Growth_Rate (%)
Company A,Asia-Pacific,12.150693780605149,59.480234941312474,2.9593362183783323
Company A,Europe,8.081050474786936,47.2506886234771,3.6890368897654273
Company A,North America,7.655078402833309,39.95632100544592,1.6458982842204197
Company A,South America,17.45828869165208,86.55508057900315,6.604090225712426
Company B,Asia-Pacific,12.207546103650333,33.19845509650818,-3.882576906452999
Company B,Europe,6.801913346543476,22.24251614145636,2.098103809254413
Company B,North America,51.710667149940036,41.2450661473342,7.895001983033894
Company B,South America,44.05333243405633,89.90008424147842,5.013877570505189
Company C,Africa,40.296414055314436,75.30187593588232,7.6455109295621995
Company C,Asia-Pacific,24.279780901363623,29.83459991390948,-0.46814020501285736
Company C,North America,6.774158664985999,51.70115446013735,4.746926457359203
Company C,South America,10.220317611249998,31.176707055105776,1.6050505803819703
Company D,Africa,69.54577633391193,111.08474174134048,4.080431833386192
Company D,Asia-Pacific,10.383980588485258,34.73649513750295,-3.1659170548303783
Company D,Europe,16.168557374706474,16.804987447691424,7.518793402031456
Company D,North America,9.253492944698145,28.73582331420974,14.3730388794827
Company D,South America,10.226661318138305,37.458089506956654,14.136017702529127
Company E,Africa,24.875680345630215,30.179677268545674,1.906710985334342
Company E,Asia-Pacific,53.998309178388325,113.51438472228566,6.4397912440657965
Company E,Europe,20.55373420029609,72.40200882152662,6.365603624016265
Company E,South America,13.872657965969521,52.88202068429264,1.797736489200798
Company F,Asia-Pacific,18.16141942573848,15.560225072241355,3.9476065248865053
Company F,Europe,15.809636454038682,6.829326754807986,1.889611739174374
Company F,North America,5.758774553506099,26.318116613901765,14.918624840606583
Company F,South America,19.661198523259277,8.597039219659464,5.959437664961747
Company G,Africa,17.16764052658274,10.524621665748779,2.554577723525897
Company G,Asia-Pacific,49.682918712712834,92.39257907635965,1.4155309886609873
Company G,North America,37.983679299370294,53.01914403195826,10.960624982000624
Company G,South America,47.53409395650901,92.86156356360046,10.488497383472628
Company H,Africa,11.873556914245928,13.783787543743983,2.0043649340062704
Company H,Asia-Pacific,24.2589900748819,51.59424616056708,9.85772647502952
Company H,Europe,44.29985538253716,124.88003034302196,10.720745965505653
Company H,North America,76.76640835717843,99.68805903638663,4.741954969091636
Company H,South America,15.614396653273175,54.6191485881796,7.417330625208398
Company I,Africa,35.68199727399059,121.69630903117377,6.359946427393887
Company I,Asia-Pacific,17.78638642305892,23.769016834040958,12.262770439780077
Company I,Europe,44.79028581454046,52.91053526970334,3.127553353529041
Company I,North America,23.63850289942681,58.29083954459187,6.000967777353692
Company I,South America,37.15874730475434,71.11150056592604,1.8243159687365476
Company J,Africa,19.928820295400563,43.15982629727209,6.518491505161691
Company J,Asia-Pacific,35.255926640452444,46.83083800108598,6.110335706601116
Company J,Europe,19.59896430722517,22.34797203521666,9.740711135820177
Company J,North America,19.157989224234804,105.96297600510098,8.930441699051169
Company J,South America,44.88180275448482,79.60779367870718,3.8832500757746367
